代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
FB.O,FACEBOOK,2019-10-18 10:15,189.99,190.14,189.68,189.68,0,246644
FB.O,FACEBOOK,2019-10-18 10:20,189.68,189.88,189.62,189.73,0,115815
FB.O,FACEBOOK,2019-10-18 10:25,189.72,189.84,189.7,189.76,0,100595
FB.O,FACEBOOK,2019-10-18 10:30,189.75,189.75,189.04,189.1,0,287181
FB.O,FACEBOOK,2019-10-18 10:35,189.11,189.11,188.1,188.1,0,308034
FB.O,FACEBOOK,2019-10-18 10:40,188.1,188.56,187.98,188.35,0,194449
FB.O,FACEBOOK,2019-10-18 10:45,188.36,188.37,187.79,187.99,0,164815
FB.O,FACEBOOK,2019-10-18 10:50,187.99,188.16,187.93,188.15,0,146166
FB.O,FACEBOOK,2019-10-18 10:55,188.13,188.24,187.88,187.96,0,174617
FB.O,FACEBOOK,2019-10-18 11:00,187.97,188.03,187.66,187.68,0,125819
FB.O,FACEBOOK,2019-10-18 11:05,187.68,188.08,187.56,187.75,0,208348
FB.O,FACEBOOK,2019-10-18 11:10,187.75,187.75,187.2,187.35,0,197230
FB.O,FACEBOOK,2019-10-18 11:15,187.37,187.69,187.31,187.6,0,158059
FB.O,FACEBOOK,2019-10-18 11:20,187.6,187.83,187.36,187.37,0,118890
FB.O,FACEBOOK,2019-10-18 11:25,187.38,187.51,187.09,187.12,0,122231
FB.O,FACEBOOK,2019-10-18 11:30,187.12,187.14,186.87,187.03,0,223833
FB.O,FACEBOOK,2019-10-18 11:35,187.03,187.22,186.78,186.93,0,204263
FB.O,FACEBOOK,2019-10-18 11:40,186.93,186.93,186.53,186.75,0,184928
FB.O,FACEBOOK,2019-10-18 11:45,186.75,186.87,186.39,186.74,0,225656
FB.O,FACEBOOK,2019-10-18 11:50,186.71,186.71,186.29,186.38,0,106323
FB.O,FACEBOOK,2019-10-18 11:55,186.38,186.45,186.04,186.26,0,199967
FB.O,FACEBOOK,2019-10-18 12:00,186.26,186.26,185.56,185.67,0,343417
FB.O,FACEBOOK,2019-10-18 12:05,185.67,186.13,185.57,186.12,0,265360
FB.O,FACEBOOK,2019-10-18 12:10,186.12,186.33,186.06,186.19,0,235204
FB.O,FACEBOOK,2019-10-18 12:15,186.19,186.23,185.69,185.72,0,168029
FB.O,FACEBOOK,2019-10-18 12:20,185.72,185.72,184.53,184.74,0,360116
FB.O,FACEBOOK,2019-10-18 12:25,184.73,184.9,184.2,184.8,0,428075
FB.O,FACEBOOK,2019-10-18 12:30,184.79,185,184.3,184.31,0,172168
FB.O,FACEBOOK,2019-10-18 12:35,184.31,184.54,183.92,184.45,0,300797
FB.O,FACEBOOK,2019-10-18 12:40,184.44,184.55,184.21,184.23,0,177018
FB.O,FACEBOOK,2019-10-18 12:45,184.23,184.64,184.11,184.63,0,187458
FB.O,FACEBOOK,2019-10-18 12:50,184.65,185.26,184.65,185.16,0,299226
FB.O,FACEBOOK,2019-10-18 12:55,185.17,185.53,185.14,185.38,0,166555
FB.O,FACEBOOK,2019-10-18 12:59,185.38,185.73,185.24,185.43,0,126574
FB.O,FACEBOOK,2019-10-18 13:04,185.43,185.83,185.43,185.81,0,137351
FB.O,FACEBOOK,2019-10-18 13:10,185.81,186.25,185.81,186.08,0,229170
FB.O,FACEBOOK,2019-10-18 13:15,186.08,186.15,185.82,186.02,0,118556
FB.O,FACEBOOK,2019-10-18 13:20,186.02,186.72,185.99,186.45,0,245666
FB.O,FACEBOOK,2019-10-18 13:25,186.45,186.55,186.15,186.17,0,89312
FB.O,FACEBOOK,2019-10-18 13:30,186.17,186.37,185.91,186.11,0,88896
FB.O,FACEBOOK,2019-10-18 13:35,186.11,186.23,185.96,185.96,0,456695
FB.O,FACEBOOK,2019-10-18 13:40,185.94,185.94,185.68,185.69,0,194668
FB.O,FACEBOOK,2019-10-18 13:45,185.69,186.09,185.69,186.09,0,53129
FB.O,FACEBOOK,2019-10-18 13:50,186.09,186.21,186.02,186.16,0,90051
FB.O,FACEBOOK,2019-10-18 13:55,186.16,186.2,185.87,185.91,0,64896
FB.O,FACEBOOK,2019-10-18 14:00,185.91,186.21,185.91,186.11,0,59053
FB.O,FACEBOOK,2019-10-18 14:05,186.11,186.11,185.75,185.94,0,71638
FB.O,FACEBOOK,2019-10-18 14:10,185.97,186.34,185.97,186.01,0,108545
FB.O,FACEBOOK,2019-10-18 14:15,186.01,186.14,185.89,185.94,0,58129
FB.O,FACEBOOK,2019-10-18 14:20,185.94,186.18,185.94,186.14,0,65796
FB.O,FACEBOOK,2019-10-18 14:25,186.14,186.32,186,186.02,0,72210
FB.O,FACEBOOK,2019-10-18 14:30,186.03,186.3,186,186.27,0,78823
FB.O,FACEBOOK,2019-10-18 14:35,186.27,186.35,186.16,186.28,0,52101
FB.O,FACEBOOK,2019-10-18 14:40,186.28,186.28,186.05,186.07,0,58733
FB.O,FACEBOOK,2019-10-18 14:45,186.07,186.16,186.02,186.03,0,42250
FB.O,FACEBOOK,2019-10-18 14:50,186.06,186.16,185.91,186,0,56014
FB.O,FACEBOOK,2019-10-18 14:55,186,186.15,185.98,186.13,0,52907
FB.O,FACEBOOK,2019-10-18 15:00,186.11,186.39,186.1,186.28,0,71772
FB.O,FACEBOOK,2019-10-18 15:05,186.21,186.35,186.2,186.31,0,50756
FB.O,FACEBOOK,2019-10-18 15:10,186.31,186.52,186.27,186.48,0,77412
